"File Path","Type","Severity","Message","Suggestion"
"resources\js\Components\GhostAiUi\ui\chart.tsx","responsive-theme-without-context","warning","Component uses dark:/light: classes but may not have proper theme context","Ensure component is wrapped in ThemeProvider or import useTheme"
"resources\js\Components\GhostAiUi\ui\alert.tsx","missing-theme-import","warning","Component uses theme-related patterns but does not import useTheme","Add: import { useTheme } from ""@/contexts/ThemeContext"";"
"resources\js\Components\GhostAiUi\ui\alert.tsx","responsive-theme-without-context","warning","Component uses dark:/light: classes but may not have proper theme context","Ensure component is wrapped in ThemeProvider or import useTheme"
"resources\js\Components\Admin\Docuseal\MappingStatsDashboard.tsx","missing-theme-import","warning","Component uses theme-related patterns but does not import useTheme","Add: import { useTheme } from ""@/contexts/ThemeContext"";"
"resources\js\Components\Admin\Docuseal\MappingStatsDashboard.tsx","missing-glass-theme-import","warning","Component uses glass theme utilities but does not import them","Add: import { themes, cn } from ""@/theme/glass-theme"";"
"resources\js\Components\Admin\Docuseal\BulkMappingModal.tsx","missing-theme-import","warning","Component uses theme-related patterns but does not import useTheme","Add: import { useTheme } from ""@/contexts/ThemeContext"";"
"resources\js\Components\Admin\Docuseal\BulkMappingModal.tsx","missing-glass-theme-import","warning","Component uses glass theme utilities but does not import them","Add: import { themes, cn } from ""@/theme/glass-theme"";"
"resources\js\Pages\QuickRequest\Orders\ui\sonner.tsx","missing-theme-import","warning","Component uses theme-related patterns but does not import useTheme","Add: import { useTheme } from ""@/contexts/ThemeContext"";"
"resources\js\Pages\QuickRequest\Orders\ui\chart.tsx","missing-theme-import","warning","Component uses theme-related patterns but does not import useTheme","Add: import { useTheme } from ""@/contexts/ThemeContext"";"
"resources\js\Pages\QuickRequest\Orders\ui\chart.tsx","unsafe-theme-access","critical","Component has unsafe theme access patterns","Use safe destructuring: const { theme = ""dark"" } = useTheme() ?? {};"
"resources\js\Pages\QuickRequest\Orders\ui\chart.tsx","responsive-theme-without-context","warning","Component uses dark:/light: classes but may not have proper theme context","Ensure component is wrapped in ThemeProvider or import useTheme"
"resources\js\Pages\QuickRequest\Orders\ui\alert.tsx","missing-theme-import","warning","Component uses theme-related patterns but does not import useTheme","Add: import { useTheme } from ""@/contexts/ThemeContext"";"
"resources\js\Pages\QuickRequest\Orders\ui\alert.tsx","responsive-theme-without-context","warning","Component uses dark:/light: classes but may not have proper theme context","Ensure component is wrapped in ThemeProvider or import useTheme"
"resources\js\Pages\Team\Index.tsx","missing-main-layout","warning","Page component does not import or use MainLayout","Wrap page content with MainLayout or import MainLayout"
"resources\js\Pages\SystemAdmin\Integrations.tsx","missing-main-layout","warning","Page component does not import or use MainLayout","Wrap page content with MainLayout or import MainLayout"
"resources\js\Pages\SystemAdmin\Audit.tsx","missing-main-layout","warning","Page component does not import or use MainLayout","Wrap page content with MainLayout or import MainLayout"
"resources\js\Pages\Roles\Index.tsx","missing-main-layout","warning","Page component does not import or use MainLayout","Wrap page content with MainLayout or import MainLayout"
"resources\js\Pages\QuickRequest\OrderSummary.tsx","missing-main-layout","warning","Page component does not import or use MainLayout","Wrap page content with MainLayout or import MainLayout"
"resources\js\Pages\Order\Analytics.tsx","missing-main-layout","warning","Page component does not import or use MainLayout","Wrap page content with MainLayout or import MainLayout"
"resources\js\Pages\Notifications\Index.tsx","missing-main-layout","warning","Page component does not import or use MainLayout","Wrap page content with MainLayout or import MainLayout"
"resources\js\Pages\Errors\NoAccess.tsx","missing-main-layout","warning","Page component does not import or use MainLayout","Wrap page content with MainLayout or import MainLayout"
"resources\js\Pages\Engines\Commission.tsx","missing-main-layout","warning","Page component does not import or use MainLayout","Wrap page content with MainLayout or import MainLayout"
"resources\js\Pages\Auth\RequestAccess.tsx","missing-main-layout","warning","Page component does not import or use MainLayout","Wrap page content with MainLayout or import MainLayout"
"resources\js\Pages\Auth\ProviderInvitationRefactored.tsx","missing-main-layout","warning","Page component does not import or use MainLayout","Wrap page content with MainLayout or import MainLayout"
"resources\js\Pages\Auth\ProviderInvitation.tsx","missing-main-layout","warning","Page component does not import or use MainLayout","Wrap page content with MainLayout or import MainLayout"
"resources\js\Pages\Auth\Login.tsx","missing-main-layout","warning","Page component does not import or use MainLayout","Wrap page content with MainLayout or import MainLayout"
"resources\js\Pages\QuickRequest\Components\Step8OrderFormApproval.tsx","missing-main-layout","warning","Page component does not import or use MainLayout","Wrap page content with MainLayout or import MainLayout"
"resources\js\Pages\QuickRequest\Components\Step7FinalSubmission.tsx","missing-main-layout","warning","Page component does not import or use MainLayout","Wrap page content with MainLayout or import MainLayout"
"resources\js\Pages\QuickRequest\Components\Step7DocusealIVR.tsx","missing-main-layout","warning","Page component does not import or use MainLayout","Wrap page content with MainLayout or import MainLayout"
"resources\js\Pages\QuickRequest\Components\Step6ReviewSubmit.tsx","missing-main-layout","warning","Page component does not import or use MainLayout","Wrap page content with MainLayout or import MainLayout"
"resources\js\Pages\QuickRequest\Components\Step5ProductSelection.tsx","missing-main-layout","warning","Page component does not import or use MainLayout","Wrap page content with MainLayout or import MainLayout"
"resources\js\Pages\QuickRequest\Components\Step4Confirmation.tsx","missing-main-layout","warning","Page component does not import or use MainLayout","Wrap page content with MainLayout or import MainLayout"
"resources\js\Pages\QuickRequest\Components\Step4ClinicalBilling.tsx","missing-main-layout","warning","Page component does not import or use MainLayout","Wrap page content with MainLayout or import MainLayout"
"resources\js\Pages\QuickRequest\Components\Step3Documentation.tsx","missing-main-layout","warning","Page component does not import or use MainLayout","Wrap page content with MainLayout or import MainLayout"
"resources\js\Pages\QuickRequest\Components\Step2ProductSelection.tsx","missing-main-layout","warning","Page component does not import or use MainLayout","Wrap page content with MainLayout or import MainLayout"
"resources\js\Pages\QuickRequest\Components\Step1PatientInfoNew.tsx","missing-main-layout","warning","Page component does not import or use MainLayout","Wrap page content with MainLayout or import MainLayout"
"resources\js\Pages\QuickRequest\Components\OrderReviewSummary.tsx","missing-main-layout","warning","Page component does not import or use MainLayout","Wrap page content with MainLayout or import MainLayout"
"resources\js\Pages\Admin\ProviderInvitations\Index.tsx","missing-main-layout","warning","Page component does not import or use MainLayout","Wrap page content with MainLayout or import MainLayout"
"resources\js\Pages\Admin\Organizations\Show.tsx","missing-main-layout","warning","Page component does not import or use MainLayout","Wrap page content with MainLayout or import MainLayout"
"resources\js\Pages\Admin\Organizations\Edit.tsx","missing-main-layout","warning","Page component does not import or use MainLayout","Wrap page content with MainLayout or import MainLayout"
"resources\js\Pages\Admin\OrderCenter\EnhancedDashboard.tsx","missing-main-layout","warning","Page component does not import or use MainLayout","Wrap page content with MainLayout or import MainLayout"
"resources\js\Pages\Admin\CustomerManagement\OrganizationEdit.tsx","missing-main-layout","warning","Page component does not import or use MainLayout","Wrap page content with MainLayout or import MainLayout"
"resources\js\Pages\Admin\CustomerManagement\OrganizationDetail.tsx","missing-main-layout","warning","Page component does not import or use MainLayout","Wrap page content with MainLayout or import MainLayout"
