"File Path","Type","Severity","Message","Suggestion"
"resources\js\Components\ProductRequest\RealDataStatusDashboard.tsx","unsafe-theme-access","critical","Component has unsafe theme access patterns","Use safe destructuring: const { theme = ""dark"" } = useTheme() ?? {};"
"resources\js\Components\ProductRequest\ProductRequestStatusBadge.tsx","unsafe-theme-access","critical","Component has unsafe theme access patterns","Use safe destructuring: const { theme = ""dark"" } = useTheme() ?? {};"
"resources\js\Components\ProductRequest\CleanStatusDashboard.tsx","missing-theme-import","warning","Component uses theme-related patterns but does not import useTheme","Add: import { useTheme } from ""@/contexts/ThemeContext"";"
"resources\js\Components\ProductRequest\CleanStatusDashboard.tsx","unsafe-theme-access","critical","Component has unsafe theme access patterns","Use safe destructuring: const { theme = ""dark"" } = useTheme() ?? {};"
"resources\js\Components\ProductCatalog\ProductSelectorQuickRequest.tsx","unsafe-theme-access","critical","Component has unsafe theme access patterns","Use safe destructuring: const { theme = ""dark"" } = useTheme() ?? {};"
"resources\js\Components\Pagination\Pagination.tsx","unsafe-theme-access","critical","Component has unsafe theme access patterns","Use safe destructuring: const { theme = ""dark"" } = useTheme() ?? {};"
"resources\js\Components\Order\TrackingInfo.tsx","missing-theme-import","warning","Component uses theme-related patterns but does not import useTheme","Add: import { useTheme } from ""@/contexts/ThemeContext"";"
"resources\js\Components\Order\TrackingInfo.tsx","responsive-theme-without-context","warning","Component uses dark:/light: classes but may not have proper theme context","Ensure component is wrapped in ThemeProvider or import useTheme"
"resources\js\Components\Order\OrderStatusBadge.tsx","unsafe-theme-access","critical","Component has unsafe theme access patterns","Use safe destructuring: const { theme = ""dark"" } = useTheme() ?? {};"
"resources\js\Components\Navigation\RoleBasedNavigation.tsx","missing-theme-import","warning","Component uses theme-related patterns but does not import useTheme","Add: import { useTheme } from ""@/contexts/ThemeContext"";"
"resources\js\Components\IVR\IvrFieldPreview.tsx","unsafe-theme-access","critical","Component has unsafe theme access patterns","Use safe destructuring: const { theme = ""dark"" } = useTheme() ?? {};"
"resources\js\Components\Form\TextInput.tsx","unsafe-theme-access","critical","Component has unsafe theme access patterns","Use safe destructuring: const { theme = ""dark"" } = useTheme() ?? {};"
"resources\js\Components\Form\TextAreaInput.tsx","missing-theme-import","warning","Component uses theme-related patterns but does not import useTheme","Add: import { useTheme } from ""@/contexts/ThemeContext"";"
"resources\js\Components\Form\TextAreaInput.tsx","missing-glass-theme-import","warning","Component uses glass theme utilities but does not import them","Add: import { themes, cn } from ""@/theme/glass-theme"";"
"resources\js\Components\Form\TextAreaInput.tsx","unsafe-theme-access","critical","Component has unsafe theme access patterns","Use safe destructuring: const { theme = ""dark"" } = useTheme() ?? {};"
"resources\js\Components\Form\SelectInput.tsx","unsafe-theme-access","critical","Component has unsafe theme access patterns","Use safe destructuring: const { theme = ""dark"" } = useTheme() ?? {};"
